modality,folds_completed,image_accuracy_mean,image_accuracy_std,image_macro_f1_mean,image_macro_f1_std,pixel_majority_accuracy_mean,pixel_majority_accuracy_std,image_recall_cotton_mean,pixel_recall_cotton_mean,image_recall_felt_mean,pixel_recall_felt_mean,image_recall_nylon_mean,pixel_recall_nylon_mean
native_scatter_4ch,5,0.7848484848484849,0.06844894536063029,0.7643783243274426,0.07841538394935195,0.4753787878787879,0.07813791215610834,0.96,0.68,0.52,0.0,0.8576923076923076,0.6961538461538461
recon_1ch_mean_all,5,0.5865530303030303,0.07954996379715429,0.4858286668631496,0.06835998373326753,0.5176136363636363,0.08571148225210595,0.9,0.6799999999999999,0.02,0.0,0.791025641025641,0.8051282051282052
recon_4ch_pol_mean_wavelength,5,0.6054924242424242,0.06205939736778704,0.5353779294169099,0.0776263401036177,0.4746212121212121,0.09418755025139981,0.9199999999999999,0.6,0.12000000000000002,0.06000000000000001,0.7423076923076923,0.7076923076923076
recon_106ch_wavelength_mean_pol,5,0.7520833333333333,0.10706705909070452,0.7336471891169589,0.1080479897430378,0.7028409090909091,0.10262810031511027,0.9200000000000002,0.8800000000000001,0.45999999999999996,0.38,0.8525641025641025,0.8205128205128205
recon_424ch_full,5,0.8017045454545455,0.08556750271371227,0.7838748310828447,0.08960409899383273,0.728030303030303,0.029836308757082094,0.96,0.9,0.5399999999999999,0.5199999999999999,0.8846153846153847,0.758974358974359
