modality,folds_completed,image_accuracy_mean,image_accuracy_std,image_macro_f1_mean,image_macro_f1_std,pixel_majority_accuracy_mean,pixel_majority_accuracy_std,image_recall_camo_mean,pixel_recall_camo_mean,image_recall_no_camo_mean,pixel_recall_no_camo_mean
native_scatter_4ch,5,0.8600000000000001,0.0821583836257749,0.8596476038581302,0.08221205479958905,0.8099999999999999,0.08215838362577489,0.8800000000000001,0.9199999999999999,0.8400000000000001,0.7
recon_1ch_mean_all,5,0.9400000000000001,0.022360679774997866,0.9398997493734337,0.022304637971050523,0.76,0.07416198487095663,0.96,1.0,0.9199999999999999,0.52
recon_4ch_pol_mean_wavelength,5,0.95,0.03535533905932737,0.9499248120300752,0.03535540568322875,0.76,0.07416198487095663,0.96,1.0,0.9399999999999998,0.52
recon_106ch_wavelength_mean_pol,5,0.93,0.02738612787525827,0.9297227918280552,0.027596429384413045,0.8699999999999999,0.06708203932499365,0.9400000000000001,0.8800000000000001,0.9199999999999999,0.86
recon_424ch_full,5,0.8800000000000001,0.1151086443322134,0.8771977291714134,0.11998205305396786,0.89,0.05477225575051658,0.9400000000000001,0.86,0.82,0.9199999999999999
