dataset,num_images,avg_ssim_3d,avg_ssim_2d,avg_mse,avg_mae,avg_rase,avg_fidelity,avg_RSE,avg_sre_l1,avg_sre_l2,avg_rsre_l1,avg_rsre_l2,avg_sigma_mean,avg_sigma_std,avg_sigma_min,avg_sigma_max,avg_sigma_median,avg_psnr
banknotes_augmented,896,0.9563746118143116,0.8880437613938541,0.0003553297575,0.009350083499999998,20.254955850472538,0.875181846559875,0.0937194067311273,0.009350083499999998,0.018020268749999995,10.43838217945969,13.453794395484563,0.0042062401342783245,0.004817798358219799,8.224336884669641e-13,0.030637227849053546,0.0017270661307650001,34.493684204958036
cumulative_augmented,644,0.9305345934245176,0.844041826986682,0.00093012497,0.014165260750000002,41.84392546198456,0.8690062280141754,0.2286659246194899,0.014165260750000002,0.02689825725,21.836798944111383,24.165137588214247,0.010009275794156449,0.01284767483919275,4.2227306218014587e-11,0.1241943199557732,0.00584754044199445,30.31458696462007
invertebrates_augmented,1152,0.9550840852104278,0.8971625530514137,0.0004803621025,0.00927728725,34.81588594431324,0.8726472809802411,0.1769019733183085,0.00927728725,0.0189667745,16.97459120186977,19.878797087585554,0.00250487211431185,0.003721296641742775,9.30621628289237e-12,0.06825550008862692,0.001573635132141675,33.184312629767774
produce_augmented,2624,0.9509081026179556,0.8826831854699445,0.00060249441,0.00952190275,43.05090136410521,0.8700191382483767,0.185477432638702,0.00952190275,0.02144584575,18.53701924726299,21.059912877872858,0.0027539024735810003,0.0049251622662179004,1.3309160945723186e-14,0.07319290829444774,0.000951758921385,32.200469781595935
rescharts_augmented,2560,0.9701902868763126,0.8963163277054911,0.00037300665500000004,0.010771285750000002,15.797979793714479,0.8708010081519604,0.10362907143571645,0.010771285750000002,0.017399832750000004,9.845518457368598,10.221335703972727,0.0043200672131206,0.0038898621224688497,2.458139984901092e-16,0.03484069619298678,0.0037171609600590502,34.282834196551356
william_summer_augmented,3584,0.982786125625001,0.9395627672221467,0.00011482052200000002,0.00421839765,13.300371191807615,0.8769253291484945,0.05612989024822512,0.00421839765,0.0097825685,5.642586685332519,8.34038771026826,0.00426777649753205,0.0068878702305222505,4.989519722254771e-16,0.09788872770202157,0.00202238537115455,39.399804830632064
