dataset,polarization,num_images,avg_ssim_3d,avg_ssim_2d,avg_mse,avg_mae,avg_rase,avg_fidelity,avg_RSE,avg_sre_l1,avg_sre_l2,avg_rsre_l1,avg_rsre_l2,avg_sigma_mean,avg_sigma_std,avg_sigma_min,avg_sigma_max,avg_sigma_median,avg_psnr
banknotes_augmented,0,224,0.9563509726565168,0.8888655019754875,0.0003642442,0.009417102,20.216834532395264,0.8752326145918882,0.0948115863637732,0.009417102,0.018054029,10.481277914784316,13.423887587019376,0.0039200798679043,0.0044743901089532,7.24719538790348e-14,0.031276893253172,0.0016844774836499,34.38607354940401
banknotes_augmented,45,224,0.956746220371888,0.887286215011642,0.0003546562,0.009465073,20.143461517771104,0.8753504591243362,0.0957267885761601,0.009465073,0.017965632,10.536410639594708,13.3764290583453,0.0043719794921344,0.0050467302727546,1.9046894716049992e-14,0.0301550383197276,0.0017423843367266,34.501924435350276
banknotes_augmented,90,224,0.9557780733998548,0.8869003450091267,0.00034375623,0.009140298,20.29709150339915,0.8749370831138289,0.09046463668346398,0.009140298,0.017976799999999998,10.264343708487491,13.491467971886909,0.0043157321519434,0.0048940150206492,9.610085640552267e-15,0.0295760478974053,0.0017868127225873,34.637494222377406
banknotes_augmented,135,224,0.9566231808289868,0.8891229835791604,0.0003586624,0.009377861,20.36243584832464,0.8752072294094465,0.0938746153011119,0.009377861,0.018084614,10.47149645497224,13.523392964686666,0.0042171690251312,0.0048560580305222,3.188605819632219e-12,0.0315409319259093,0.0016945899800962,34.45314149748431
cumulative_augmented,0,161,0.9310140712981164,0.8452421245961076,0.0009272132999999999,0.014149029000000002,41.26788918296355,0.8692104899319302,0.2271418694800101,0.014149029000000002,0.026821116,21.580713496815346,23.83456257004175,0.0098146286717853,0.012442212439032199,1.3199637679113382e-10,0.12153007268257758,0.0058597035442843,30.32820347455178
cumulative_augmented,45,161,0.9307309078469874,0.8447742150369897,0.0009459231,0.014167377000000002,42.13306663805012,0.8691401033437337,0.22611351831821916,0.014167377000000002,0.026984023,21.86433485020762,24.35262285589432,0.0103563074317546,0.013474230686353,1.1280508870510745e-12,0.1340046643470385,0.0059976013939862,30.241441686755405
cumulative_augmented,90,161,0.930039304054157,0.8419322008022456,0.0009222667399999999,0.014122865000000002,41.73148250282383,0.868678259928506,0.23057921402017517,0.014122865000000002,0.026834700000000003,21.863111467187448,24.10877432604754,0.0103332059434759,0.012993674731078701,3.571398810572891e-11,0.1144977117084568,0.0060136772277157,30.351434531804248
cumulative_augmented,135,161,0.9303540904988095,0.8442187675113854,0.00092509674,0.014221772000000002,42.24326352410074,0.8689960588525316,0.2308290966595552,0.014221772000000002,0.026953189999999995,22.039035962235115,24.36459060087337,0.00953296112961,0.0124805815003071,7.080908814453122e-14,0.1267448310850199,0.0055191796019916,30.33812849475714
invertebrates_augmented,0,288,0.9557962071693367,0.8979051108638247,0.00047136744,0.009283679,35.18586655017368,0.8728480859860307,0.1779574485133505,0.009283679,0.019040722,17.070883036487633,20.03278610193067,0.0024628087210456,0.0035523946919258,3.688605937361753e-12,0.0683195751432019,0.0015640935800749,33.266404199379274
invertebrates_augmented,45,288,0.9548472755774865,0.8971623734752551,0.00047874602000000003,0.009377141,34.584657316062604,0.8727274536176739,0.1796369599695834,0.009377141,0.018915998,17.073066319183756,19.745407993387843,0.0025135404935604,0.0038605417107141,6.17411695051819e-12,0.0693403479591426,0.0015525239381935,33.19894823465562
invertebrates_augmented,90,288,0.9530189553761557,0.8941122016533204,0.00051960285,0.00948723,35.693007203041105,0.8724116280535301,0.1796610207917789,0.00948723,0.019498874,17.34994680284419,20.38411853524546,0.0025547520130607,0.0037698377450902,2.4014211312963708e-11,0.0661728829792183,0.0016325995335743,32.84328475505325
invertebrates_augmented,135,288,0.9566739027187326,0.8994705262132546,0.0004517321,0.008961099,33.80001270797553,0.8726019562637298,0.1703524639985213,0.008961099,0.018411504,16.404468648963505,19.35287571977824,0.0024883872295807,0.003702412419241,3.347930930725827e-12,0.0691891942729449,0.001545323476724,33.451190474560065
produce_augmented,0,656,0.9504154700384798,0.8821787805675282,0.00060109637,0.009582742,42.8944276732279,0.8698321901285381,0.1863179497318569,0.009582742,0.021460835,18.56048177223562,21.008600246888108,0.002810137836538,0.0049740728423873,1.485191501498823e-14,0.0684546924639129,0.0009766956518876,32.210558947126835
produce_augmented,45,656,0.9501921266055118,0.8817447336959189,0.00060888863,0.009562914,43.30427971655669,0.8697711005069512,0.1859413835549409,0.009562914,0.021517923,18.657291735090865,21.170315227085133,0.0027291613613914,0.004802491062281,3.8018101817278925e-14,0.0745039361318936,0.0009688382961029999,32.154621356094005
