modality,metric,mean,std,mean_pm_std,macro_f1_mean,macro_f1_std
native scatter 4ch,image accuracy,0.7848484848484849,0.0684489453606302,78.5 $\pm$ 6.8,0.7643783243274426,0.0784153839493519
1,image accuracy,0.5865530303030303,0.0795499637971542,58.7 $\pm$ 8.0,0.4858286668631496,0.0683599837332675
4,image accuracy,0.6054924242424242,0.062059397367787,60.5 $\pm$ 6.2,0.5353779294169099,0.0776263401036177
106,image accuracy,0.7520833333333333,0.1070670590907045,75.2 $\pm$ 10.7,0.7336471891169589,0.1080479897430378
424,image accuracy,0.8017045454545455,0.0855675027137122,80.2 $\pm$ 8.6,0.7838748310828447,0.0896040989938327
